"","Date","Open","High","Low","Close","Volume","Cryptocurrency"
"2",2018-07-23,460.22,469.89,452.59,455,5.634,"Ethereum"
"3",2018-07-24,455,481,440.01,481,7.235,"Ethereum"
"4",2018-07-25,481,485.76,462.41,482.849,3.932,"Ethereum"
"5",2018-07-26,482.849,485,463.49,463.73,12.349,"Ethereum"
"6",2018-07-27,463.73,471.39,456.8,471.39,5.28,"Ethereum"
"7",2018-07-28,471.39,482.42,466.02,469.03,5.446,"Ethereum"
"8",2018-07-29,469.03,490,464,490,2.855,"Ethereum"
"9",2018-07-30,490,490,443.68,443.68,8.787,"Ethereum"
"10",2018-07-31,443.68,464.01,432.5,432.5,3.876,"Ethereum"
"11",2018-08-01,432.5,459.99,415.65,422.98,36.051,"Ethereum"
"12",2018-08-02,422.98,423.7,407.61,407.61,23.787,"Ethereum"
"13",2018-08-03,407.61,417.86,400.21,415.03,11.927,"Ethereum"
"14",2018-08-04,415.03,419,402,407.5,12.19,"Ethereum"
"15",2018-08-05,407.5,410.47,402.51,408.6,6.838,"Ethereum"
"16",2018-08-06,408.6,414.13,402.37,406.74,17.654,"Ethereum"
"17",2018-08-07,406.74,410.63,381.95,387.59,26.218,"Ethereum"
"18",2018-08-08,387.59,387.59,351.97,355.66,27.215,"Ethereum"
"19",2018-08-09,355.66,369.37,353.56,361.03,13.345,"Ethereum"
"20",2018-08-10,361.03,363.98,326.13,329.96,22.327,"Ethereum"
"21",2018-08-11,329.96,330.16,305,322.2,32.254,"Ethereum"
"22",2018-08-12,322.2,325.73,315.02,316.97,16.991,"Ethereum"
"23",2018-08-13,316.97,321.1,283.13,283.13,34.114,"Ethereum"
"24",2018-08-14,283.13,283.13,253.4,265.83,59.165,"Ethereum"
"25",2018-08-15,265.83,305.51,265.83,284.33,45.284,"Ethereum"
"26",2018-08-16,284.33,301.999,281.88,285.5,24.237,"Ethereum"
"27",2018-08-17,285.5,317.02,285.5,315.56,27.646,"Ethereum"
"28",2018-08-18,315.56,318.61,284,296,28.252,"Ethereum"
"29",2018-08-19,296,303.43,288.52,292,21.536,"Ethereum"
"30",2018-08-20,292,301.48,270.12,272.14,49.123,"Ethereum"
"31",2018-08-21,272.14,286,272.14,281.02,18.208,"Ethereum"
"32",2018-08-22,281.02,295.83,264,264,51.901,"Ethereum"
"33",2018-08-23,264,279.19,264,271.01,20.699,"Ethereum"
"34",2018-08-24,271.01,283.57,271.01,283.57,37.565,"Ethereum"
"35",2018-08-25,283.57,283.57,275,277.43,16.163,"Ethereum"
"36",2018-08-26,277.43,277.43,271,271.45,31.818,"Ethereum"
"37",2018-08-27,271.45,285.3,271.45,285.3,30.731,"Ethereum"
"38",2018-08-28,285.3,296.16,282.1,295,42.698,"Ethereum"
"39",2018-08-29,295,296.2,284.38,289.08,24.876,"Ethereum"
"40",2018-08-30,289.08,291,274.87,282.76,28.422,"Ethereum"
"41",2018-08-31,282.76,284.91,277.14,281.95,31.517,"Ethereum"
"42",2018-09-01,281.95,300,281.95,297.08,71.113,"Ethereum"
"43",2018-09-02,297.08,300,288.7,294.47,44.038,"Ethereum"
"44",2018-09-03,294.47,298,287.22,298,13.909,"Ethereum"
"45",2018-09-04,298,298,283.31,284,41.64,"Ethereum"
"46",2018-09-05,284,288.14,242,245,55.824,"Ethereum"
"47",2018-09-06,245,245,222,227,162.046,"Ethereum"
"48",2018-09-07,227,235,216,219,68.249,"Ethereum"
"49",2018-09-08,219,222,192,208,88.356,"Ethereum"
"50",2018-09-09,208,209,187,199,101.122,"Ethereum"
"51",2018-09-10,199,201,188,193,107.972,"Ethereum"
"52",2018-09-11,193,198,178,186,98.529,"Ethereum"
"53",2018-09-12,186,186,143,181,132.171,"Ethereum"
"54",2018-09-13,181,211,181,207,136.934,"Ethereum"
"55",2018-09-14,207,223,202,216,71.33,"Ethereum"
"56",2018-09-15,216,227,209,223,102.8,"Ethereum"
"57",2018-09-16,223,223,210,220,100.633,"Ethereum"
"58",2018-09-17,220,223,193,198,111.405,"Ethereum"
"59",2018-09-18,198,214,194,206,69.619,"Ethereum"
"60",2018-09-19,206,213,199,211,100.143,"Ethereum"
"61",2018-09-20,211,223,206,223,86.661,"Ethereum"
"62",2018-09-21,223,250,219,246,148.236,"Ethereum"
"63",2018-09-22,246,250,232,241,40.968,"Ethereum"
"64",2018-09-23,241,249,237,244,54.719,"Ethereum"
"65",2018-09-24,244,245,230,230,65.547,"Ethereum"
"66",2018-09-25,230,230,205,215,113.598,"Ethereum"
"67",2018-09-26,215,223,209,216,98.087,"Ethereum"
"68",2018-09-27,216,231,211,229,103.735,"Ethereum"
"69",2018-09-28,229,233,220,221.5,77.866,"Ethereum"
"70",2018-09-29,221.5,237.9,215.74,233,118.566,"Ethereum"
"71",2018-09-30,233,239,229.47,229.99,73.46,"Ethereum"
"72",2018-10-01,229.99,234.77,225,229.5,58.644,"Ethereum"
"73",2018-10-02,229.5,232.72,226.29,227.45,46.595,"Ethereum"
"74",2018-10-03,227.45,227.45,217,220.82,62.292,"Ethereum"
"75",2018-10-04,220.82,227.47,220.82,222.37,34.335,"Ethereum"
"76",2018-10-05,222.37,230,220.3,227.91,60.182,"Ethereum"
"77",2018-10-06,227.91,228.92,222.95,224.84,82.637,"Ethereum"
"78",2018-10-07,224.84,227,221.79,226.76,62.27,"Ethereum"
"79",2018-10-08,226.76,231.5,223.99,230.64,74.094,"Ethereum"
"80",2018-10-09,230.64,231.2,226.76,228.5,52.512,"Ethereum"
"81",2018-10-10,228.5,228.58,224.43,226.1,70.013,"Ethereum"
"82",2018-10-11,226.1,226.1,195,195,143.477,"Ethereum"
"83",2018-10-12,195,208,192.18,196.6,70.283,"Ethereum"
"84",2018-10-13,196.6,202.61,196.6,199.92,34.479,"Ethereum"
"85",2018-10-14,199.92,203.38,195.88,195.88,89.312,"Ethereum"
"86",2018-10-15,195.88,238,195.66,210,226.316,"Ethereum"
"87",2018-10-16,210,218.9,210,215.54,106.931,"Ethereum"
"88",2018-10-17,215.54,216.58,211.82,213,63.676,"Ethereum"
"89",2018-10-18,213,214.85,204.99,206.41,105.748,"Ethereum"
"90",2018-10-19,206.41,214,200,205.78,73.757,"Ethereum"
"91",2018-10-20,205.78,209.47,204.48,207.72,47.303,"Ethereum"
"92",2018-10-21,207.72,211.08,207.72,208.01,69.192,"Ethereum"
"93",2018-10-22,208.01,209.54,205.26,207.68,82.403,"Ethereum"
"94",2018-10-23,207.68,207.68,203.6,205.61,52.781,"Ethereum"
"95",2018-10-24,205.61,207.98,205.01,205.01,51.632,"Ethereum"
"96",2018-10-25,205.01,205.14,203.06,204.21,37.914,"Ethereum"
"97",2018-10-26,204.21,208.1,203.08,205.35,61.249,"Ethereum"
"98",2018-10-27,205.35,205.88,203.4,203.53,27.121,"Ethereum"
"99",2018-10-28,203.53,205.7,203.48,203.98,43.863,"Ethereum"
"100",2018-10-29,203.98,205.81,196.4,197.25,74.599,"Ethereum"
"101",2018-10-30,197.25,198.59,195.7,197.45,40.247,"Ethereum"
"102",2018-10-31,197.45,200,194,198.5,75.979,"Ethereum"
"103",2018-11-01,198.5,200,197.59,200,92.675,"Ethereum"
"104",2018-11-02,200,203.49,199.44,201.7,64.884,"Ethereum"
"105",2018-11-03,201.7,202.48,199.33,201.05,61.041,"Ethereum"
"106",2018-11-04,201.05,217,199.14,212.56,120.865,"Ethereum"
"107",2018-11-05,212.56,212.56,208,210.18,97.134,"Ethereum"
"108",2018-11-06,210.18,220.6,208.7,220.6,79.326,"Ethereum"
"109",2018-11-07,220.6,224.1,217.5,219.8,80.256,"Ethereum"
"110",2018-11-08,219.8,219.8,213.61,214,67.371,"Ethereum"
"111",2018-11-09,214,215,210,211.11,87.158,"Ethereum"
"112",2018-11-10,211.11,215.4,210.5,213.9,48.816,"Ethereum"
"113",2018-11-11,213.9,214.41,209.05,213,43.889,"Ethereum"
"114",2018-11-12,213,213.85,211.35,212,61.291,"Ethereum"
"115",2018-11-13,212,213.21,209.31,210.35,60.822,"Ethereum"
"116",2018-11-14,210.35,210.55,178,185.17,126.788,"Ethereum"
"117",2018-11-15,185.17,189,172,181.19,250.596,"Ethereum"
"118",2018-11-16,181.19,183.98,174.18,177.46,161.299,"Ethereum"
"119",2018-11-17,177.46,177.52,174.09,175.52,125.797,"Ethereum"
"120",2018-11-18,175.52,182,175.52,177.32,87.154,"Ethereum"
"121",2018-11-19,177.32,177.32,148,152.72,337.294,"Ethereum"
"122",2018-11-20,152.72,154.48,130,133,620.366,"Ethereum"
"123",2018-11-21,133,142.05,128,138.16,508.923,"Ethereum"
"124",2018-11-22,138.16,139.86,127,127,475.936,"Ethereum"
"125",2018-11-23,127,128.6,119.44,125.5,308.188,"Ethereum"
