Date,Open,High,Low,Close,Volume
2018-07-22 12:00:00,460.81,460.81,460.81,460.81,0.05
2018-07-22 12:30:00,460.81,461.03,460.77,460.77,0.61
2018-07-22 13:00:00,460.77,460.77,460.77,460.77,0.0
2018-07-22 13:30:00,460.77,464.12,460.77,464.12,0.223
2018-07-22 14:00:00,464.12,466.55,463.2,466.55,1.437
2018-07-22 14:30:00,466.7,466.73,465.23,465.23,0.709
2018-07-22 15:00:00,465.23,467.33,465.23,467.18,0.281
2018-07-22 15:30:00,467.18,467.18,467.18,467.18,0.0
2018-07-22 16:00:00,467.18,467.53,467.18,467.53,0.015
2018-07-22 16:30:00,467.53,467.53,467.53,467.53,0.0
2018-07-22 17:00:00,467.53,467.53,460.22,460.22,0.416
2018-07-22 17:30:00,460.22,460.22,460.22,460.22,0.0
2018-07-22 18:00:00,460.22,460.22,460.22,460.22,0.0
2018-07-22 18:30:00,460.22,460.22,460.22,460.22,0.0
2018-07-22 19:00:00,460.22,460.22,460.22,460.22,0.0
2018-07-22 19:30:00,460.22,460.22,460.22,460.22,0.0
2018-07-22 20:00:00,460.22,460.22,460.22,460.22,0.0
2018-07-22 20:30:00,460.22,460.22,460.22,460.22,0.0
2018-07-22 21:00:00,460.22,460.22,460.22,460.22,0.0
2018-07-22 21:30:00,460.22,460.22,460.22,460.22,0.0
2018-07-22 22:00:00,460.22,460.22,460.22,460.22,0.0
2018-07-22 22:30:00,460.22,460.22,460.22,460.22,0.0
2018-07-22 23:00:00,460.22,460.22,460.22,460.22,0.0
2018-07-22 23:30:00,460.22,460.22,460.22,460.22,0.0
2018-07-23 00:00:00,460.22,460.22,460.22,460.22,0.0
2018-07-23 00:30:00,460.22,460.22,460.22,460.22,0.0
2018-07-23 01:00:00,460.22,460.22,460.22,460.22,0.0
2018-07-23 01:30:00,460.22,460.22,460.22,460.22,0.0
2018-07-23 02:00:00,460.22,460.22,460.22,460.22,0.0
2018-07-23 02:30:00,460.22,461.72,460.22,461.72,0.015
2018-07-23 03:00:00,461.72,461.72,461.72,461.72,0.0
2018-07-23 03:30:00,461.72,461.72,461.72,461.72,0.0
2018-07-23 04:00:00,461.72,461.72,461.72,461.72,0.0
2018-07-23 04:30:00,461.72,461.72,461.72,461.72,0.0
2018-07-23 05:00:00,461.72,467.53,461.72,467.53,0.292
2018-07-23 05:30:00,467.53,467.53,467.53,467.53,0.047
2018-07-23 06:00:00,467.53,469.89,463.82,463.97,0.604
2018-07-23 06:30:00,463.97,469.66,463.5,464.02,0.496
2018-07-23 07:00:00,464.02,464.98,464.02,464.98,0.388
2018-07-23 07:30:00,464.98,469.42,464.98,469.42,0.426
2018-07-23 08:00:00,469.42,469.42,459.96,459.96,0.837
2018-07-23 08:30:00,459.96,465.18,459.04,465.18,0.077
2018-07-23 09:00:00,465.18,465.18,458.5,458.5,0.238
2018-07-23 09:30:00,466.59,466.59,459.48,459.54,0.696
2018-07-23 10:00:00,459.54,462.33,459.54,462.33,0.035
2018-07-23 10:30:00,462.33,462.33,460.17,460.17,0.493
2018-07-23 11:00:00,460.17,460.17,460.17,460.17,0.0
2018-07-23 11:30:00,460.17,460.17,460.11,460.11,0.03
2018-07-23 12:00:00,460.11,460.11,460.11,460.11,0.0
2018-07-23 12:30:00,460.11,460.11,460.05,460.05,0.363
2018-07-23 13:00:00,460.05,460.05,460.05,460.05,0.027
2018-07-23 13:30:00,460.05,460.05,460.05,460.05,0.016
2018-07-23 14:00:00,460.05,460.05,460.05,460.05,0.0
2018-07-23 14:30:00,460.05,460.05,460.05,460.05,0.0
2018-07-23 15:00:00,460.05,460.05,460.05,460.05,0.0
2018-07-23 15:30:00,460.05,460.05,460.05,460.05,0.0
2018-07-23 16:00:00,460.05,460.05,460.05,460.05,0.0
2018-07-23 16:30:00,460.05,460.05,460.0,460.0,0.215
2018-07-23 17:00:00,460.0,460.0,458.38,458.38,0.2
2018-07-23 17:30:00,458.38,458.38,452.59,452.59,0.11
2018-07-23 18:00:00,452.59,452.59,452.59,452.59,0.0
