Date,Open,High,Low,Close,Volume
2018-07-10 14:30:00,0.449,0.449,0.449,0.449,32.0
2018-07-10 15:00:00,0.449,0.449,0.449,0.449,0.0
2018-07-10 15:30:00,0.449,0.449,0.449,0.449,0.0
2018-07-10 16:00:00,0.449,0.449,0.449,0.449,0.0
2018-07-10 16:30:00,0.449,0.449,0.445,0.445,199.0
2018-07-10 17:00:00,0.445,0.445,0.445,0.445,0.0
2018-07-10 17:30:00,0.445,0.445,0.445,0.445,0.0
2018-07-10 18:00:00,0.445,0.445,0.445,0.445,0.0
2018-07-10 18:30:00,0.445,0.445,0.445,0.445,0.0
2018-07-10 19:00:00,0.445,0.445,0.445,0.445,0.0
2018-07-10 19:30:00,0.445,0.445,0.445,0.445,0.0
2018-07-10 20:00:00,0.445,0.445,0.445,0.445,0.0
2018-07-10 20:30:00,0.445,0.445,0.445,0.445,0.0
2018-07-10 21:00:00,0.445,0.445,0.445,0.445,0.0
2018-07-10 21:30:00,0.445,0.445,0.445,0.445,0.0
2018-07-10 22:00:00,0.445,0.445,0.445,0.445,0.0
2018-07-10 22:30:00,0.445,0.445,0.445,0.445,0.0
2018-07-10 23:00:00,0.445,0.445,0.445,0.445,0.0
2018-07-10 23:30:00,0.445,0.445,0.44,0.44,29.0
2018-07-11 00:00:00,0.44,0.445,0.44,0.445,29.0
2018-07-11 00:30:00,0.445,0.445,0.445,0.445,0.0
2018-07-11 01:00:00,0.445,0.445,0.445,0.445,0.0
2018-07-11 01:30:00,0.445,0.445,0.445,0.445,0.0
2018-07-11 02:00:00,0.445,0.445,0.445,0.445,0.0
2018-07-11 02:30:00,0.445,0.45,0.445,0.45,39.0
2018-07-11 03:00:00,0.45,0.45,0.45,0.45,0.0
2018-07-11 03:30:00,0.444,0.444,0.444,0.444,49.0
2018-07-11 04:00:00,0.444,0.444,0.444,0.444,0.0
2018-07-11 04:30:00,0.444,0.444,0.439,0.439,233.0
2018-07-11 05:00:00,0.439,0.442,0.439,0.44,94.0
2018-07-11 05:30:00,0.44,0.44,0.44,0.44,0.0
2018-07-11 06:00:00,0.44,0.441,0.44,0.441,26.0
2018-07-11 06:30:00,0.441,0.441,0.438,0.438,28.0
2018-07-11 07:00:00,0.438,0.44,0.438,0.44,325.0
2018-07-11 07:30:00,0.44,0.44,0.44,0.44,0.0
2018-07-11 08:00:00,0.44,0.449,0.436,0.449,924.0
